datetime,total_visitor,total_accomodation
1/1/2014,279257,16495
2/1/2014,275795,17221
3/1/2014,276573,17330
4/1/2014,280096,17737
5/1/2014,286033,18836
6/1/2014,330396,19085
7/1/2014,361066,19566
8/1/2014,336763,19933
9/1/2014,354762,19566
10/1/2014,341651,19933
11/1/2014,296876,20023
12/1/2014,347370,20212
1/1/2015,301748,20315
2/1/2015,338991,20850
3/1/2015,305272,21268
4/1/2015,313763,21400
5/1/2015,295973,21785
6/1/2015,359702,22190
7/1/2015,382683,22719
8/1/2015,303621,23296
9/1/2015,389060,23682
10/1/2015,369447,23926
11/1/2015,270935,24450
12/1/2015,370640,24569
1/1/2016,350592,24687
2/1/2016,375744,25377
3/1/2016,364113,25848
4/1/2016,380767,26123
5/1/2016,394557,26417
6/1/2016,405835,27019
7/1/2016,484231,27232
8/1/2016,438135,27446
9/1/2016,445716,27768
10/1/2016,432215,28132
11/1/2016,413232,28287
12/1/2016,442800,28845
1/1/2017,460824,29107
2/1/2017,453985,29587
3/1/2017,425499,29774
4/1/2017,477464,29929
5/1/2017,489376,30505
6/1/2017,504141,30783
7/1/2017,592046,31274
8/1/2017,601884,31723
9/1/2017,550520,31831
10/1/2017,465085,32244
11/1/2017,361006,32787
12/1/2017,315909,33215
1/1/2018,358065,33369
2/1/2018,452423,33708
3/1/2018,492678,34037
4/1/2018,516777,34716
5/1/2018,528512,34867
6/1/2018,544550,35576
7/1/2018,624366,36280
8/1/2018,573766,36644
9/1/2018,555903,37162
10/1/2018,517889,37358
11/1/2018,406725,37546
12/1/2018,498819,37724
1/1/2019,455570,38112
2/1/2019,437456,38332
3/1/2019,449569,38923
4/1/2019,477069,39475
5/1/2019,486602,40075
6/1/2019,549516,40340
7/1/2019,604323,40622
8/1/2019,606412,41191
9/1/2019,590398,41298
10/1/2019,567967,41728
11/1/2019,497925,41979
12/1/2019,552403,42164
1/1/2020,536611,42411
2/1/2020,364639,42892
3/1/2020,167461,43540
4/1/2020,379,43925
5/1/2020,36,44107
6/1/2020,45,44721
7/1/2020,16,45344
8/1/2020,12,45830
9/1/2020,8,46401
10/1/2020,63,46620
11/1/2020,53,47116
12/1/2020,150,47748
1/1/2021,10,48109
2/1/2021,12,48465
3/1/2021,3,48791
4/1/2021,9,48944
5/1/2021,8,49544
6/1/2021,1,50150
7/1/2021,0,50614
8/1/2021,0,50994
9/1/2021,0,51687
10/1/2021,2,51945
11/1/2021,6,52104
12/1/2021,0,52332
1/1/2022,3,52547
2/1/2022,1310,52856
3/1/2022,14620,53482
4/1/2022,58335,54103
5/1/2022,115611,54755
6/1/2022,181625,55092
7/1/2022,246504,55473
8/1/2022,276659,55932
9/1/2022,291162,56233
10/1/2022,305244,56611
11/1/2022,287398,56946
12/1/2022,377276,58302
