Periode,JBR,GSK,PMK
1/1/2004,924674.00,263849.00,930283.00
2/1/2004,925009.00,264080.00,931837.00
3/1/2004,925057.00,264149.00,931837.00
4/1/2004,925095.00,264195.00,931837.00
5/1/2004,925105.00,264380.00,932857.00
6/1/2004,925143.00,264842.00,933845.00
7/1/2004,925181.00,265212.00,934234.00
8/1/2004,925181.00,265235.00,934945.00
9/1/2004,924913.00,265304.00,935827.00
10/1/2004,924932.00,265328.00,935901.00
11/1/2004,924942.00,265351.00,935958.00
12/1/2004,924961.00,265374.00,936012.00
1/1/2005,925632.00,266160.00,936032.00
2/1/2005,929983.00,267856.00,940506.00
3/1/2005,930605.00,268364.00,941848.00
4/1/2005,931102.00,268704.00,942743.00
5/1/2005,931226.00,268873.00,943190.00
6/1/2005,931724.00,269043.00,943638.00
7/1/2005,932221.00,269043.00,962877.00
8/1/2005,932221.00,276336.00,964220.00
9/1/2005,932470.00,276844.00,964667.00
10/1/2005,932470.00,277014.00,970114.00
11/1/2005,932470.00,277184.00,973562.00
12/1/2005,932594.00,277353.00,975845.00
1/1/2006,938065.00,283120.00,980775.00
2/1/2006,939516.00,283120.00,981745.00
3/1/2006,939724.00,283120.00,982743.00
4/1/2006,939890.00,283120.00,983217.00
5/1/2006,939931.00,283120.00,984780.00
6/1/2006,940097.00,283120.00,988263.00
7/1/2006,940263.00,284756.00,989050.00
8/1/2006,940263.00,285734.00,989224.00
9/1/2006,940346.00,286049.00,990747.00
10/1/2006,940346.00,286934.00,990921.00
11/1/2006,942213.00,288734.00,992095.00
12/1/2006,942213.00,290546.00,995269.00
1/1/2007,942213.00,292507.00,998191.00
2/1/2007,942213.00,293476.00,1000513.00
3/1/2007,942213.00,293767.00,1000870.00
4/1/2007,942213.00,293961.00,1001049.00
5/1/2007,942213.00,295058.00,1001227.00
6/1/2007,942213.00,296677.00,1001227.00
7/1/2007,943871.00,298228.00,1008730.00
8/1/2007,945829.00,298325.00,1008909.00
9/1/2007,945935.00,298616.00,1009445.00
10/1/2007,946072.00,298713.00,1009623.00
11/1/2007,946072.00,298810.00,1010802.00
12/1/2007,946072.00,298907.00,1014981.00
1/1/2008,946384.00,299103.00,1016055.00
2/1/2008,944403.00,300193.00,1014928.00
3/1/2008,942617.00,301847.00,1011938.00
4/1/2008,940182.00,302118.00,1007364.00
5/1/2008,938274.00,302205.00,1004827.00
6/1/2008,936284.00,302976.00,1001837.00
7/1/2008,934726.00,303013.00,998270.00
8/1/2008,932736.00,303050.00,996172.00
9/1/2008,930183.00,304557.00,994817.00
10/1/2008,928374.00,304594.00,992837.00
11/1/2008,926384.00,304631.00,989183.00
12/1/2008,925837.00,305881.00,985717.00
1/1/2009,924726.00,306642.00,983712.00
2/1/2009,923972.00,306329.00,981737.00
3/1/2009,923117.00,305439.00,980183.00
4/1/2009,924738.00,304606.00,979284.00
5/1/2009,925738.00,304218.00,977138.00
6/1/2009,926846.00,303274.00,976827.00
7/1/2009,927163.00,303184.00,974612.00
8/1/2009,928173.00,302948.00,973612.00
9/1/2009,929017.00,302746.00,970182.00
10/1/2009,930183.00,302492.00,969928.00
11/1/2009,931873.00,301847.00,969826.00
12/1/2009,934727.00,301658.00,969358.00
1/1/2010,936723.00,300938.00,969085.00
2/1/2010,938273.00,301294.00,968491.00
3/1/2010,940183.00,301495.00,968392.00
4/1/2010,941739.00,301683.00,968194.00
5/1/2010,943729.00,301938.00,968194.00
6/1/2010,945728.00,302847.00,968046.00
7/1/2010,947927.00,302995.00,967897.00
8/1/2010,948273.00,302995.00,967601.00
9/1/2010,952730.00,302995.00,967126.00
10/1/2010,954739.00,303184.00,966827.00
11/1/2010,955837.00,303294.00,966736.00
12/1/2010,956827.00,303385.00,966457.00
1/1/2011,957809.00,303487.00,966333.00
2/1/2011,958273.00,303487.00,967182.00
3/1/2011,958582.00,304028.00,968374.00
4/1/2011,958749.00,304373.00,968756.00
5/1/2011,959283.00,304410.00,969273.00
6/1/2011,959475.00,304520.00,969847.00
7/1/2011,959837.00,304557.00,970186.00
8/1/2011,960183.00,304594.00,971736.00
9/1/2011,960495.00,304631.00,972264.00
10/1/2011,961738.00,305881.00,972486.00
11/1/2011,962845.00,306829.00,973857.00
12/1/2011,962938.00,306997.00,974613.00
1/1/2012,963211.00,307334.00,975531.00
2/1/2012,965382.00,307425.00,976293.00
3/1/2012,965382.00,307577.00,978163.00
4/1/2012,965382.00,308030.00,978938.00
5/1/2012,965401.00,308182.00,979816.00
6/1/2012,966349.00,309191.00,980283.00
